Loyalty Number,Total Flights_sum,Total Flights_mean,Total Flights_std,Total Flights_max,Distance_sum,Distance_mean,Points Accumulated_sum,Points Accumulated_mean,Points Redeemed_sum,Points Redeemed_mean,max_inactive_streak,flight_trend,redemption_ratio,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,cluster
100018,46,1.9166666666666667,1.5298953265321544,5,81190,3382.9166666666665,81190.0,3382.9166666666665,1513,63.04166666666666,2,0.048695652173913,0.0186352999137824,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,92552.0,Married,Aurora,7919.2,Standard,2016,8,,,1
100102,51,2.125,1.6235361299390263,5,68918,2871.583333333333,68918.0,2871.583333333333,1195,49.79166666666666,3,0.0421739130434782,0.0173394468788995,Canada,Ontario,Toronto,M1R 4K3,Male,College,,Single,Nova,2887.74,Standard,2013,3,,,3
100140,47,1.9583333333333333,1.7062332443303203,5,72856,3035.6666666666665,72856.0,3035.6666666666665,593,24.70833333333333,1,0.027391304347826,0.0081393433622488,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,College,,Divorced,Nova,2838.07,Standard,2016,7,,,3
100214,22,0.9166666666666666,1.316010660280157,4,38236,1593.1666666666667,38236.0,1593.1666666666667,861,35.875,6,0.0521739130434782,0.0225180458206925,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,63253.0,Married,Star,4170.57,Standard,2015,8,,,3
100272,37,1.5416666666666667,1.864523873636999,5,54997,2291.5416666666665,54997.0,2291.5416666666665,1007,41.958333333333336,3,-0.0143478260869565,0.0183100896412531,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,91163.0,Divorced,Star,6622.05,Standard,2014,1,,,3
100301,41,1.7083333333333333,1.73152776639507,6,62849,2618.708333333333,62849.0,2618.708333333333,1381,57.54166666666666,4,-0.0847826086956522,0.0219733010867316,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,70323.0,Divorced,Nova,48356.96,Standard,2013,9,,,1
100364,33,1.375,1.6100904646471967,5,45955,1914.7916666666667,45955.0,1914.7916666666667,559,23.291666666666668,5,-0.03,0.0121640735502121,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76849.0,Married,Nova,5143.88,Standard,2015,5,,,3
100380,33,1.375,1.4688800821211287,4,55270,2302.9166666666665,55270.0,2302.9166666666665,1142,47.583333333333336,2,0.0308695652173913,0.0206622037271575,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,69695.0,Single,Star,2465.62,Standard,2012,10,,,3
100428,35,1.4583333333333333,1.5316704909195136,4,58281,2428.375,58281.0,2428.375,1658,69.08333333333333,2,0.0630434782608695,0.028448379403236,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,63478.0,Married,Aurora,5845.43,Standard,2012,8,,,3
100504,19,0.7916666666666666,1.4135729219948654,4,27837,1159.875,27837.0,1159.875,0,0.0,10,-0.0204347826086956,0.0,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,75638.0,Divorced,Nova,8807.61,Standard,2017,7,2018.0,3.0,4
100550,42,1.75,1.7507762253652943,5,51687,2153.625,51687.0,2153.625,1114,46.41666666666666,2,-0.0608695652173913,0.0215528082496565,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,54133.0,Married,Nova,7861.8,Standard,2013,2,,,1
100585,41,1.7083333333333333,1.8292114401439823,5,68112,2838.0,68112.0,2838.0,2397,99.875,2,-0.0117391304347826,0.035192036645525,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,96269.0,Divorced,Star,7334.33,Standard,2013,11,,,1
100590,28,2.5454545454545454,4.824181513244218,12,30948,2813.454545454545,46422.0,4220.181818181818,512,46.54545454545455,5,-0.1818181818181816,0.0110292533712463,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,69841.0,Married,Star,34090.04,2018 Promotion,2018,3,,,1
100642,36,1.5,1.560378995210988,4,53386,2224.4166666666665,53386.0,2224.4166666666665,502,20.916666666666668,2,0.0043478260869565,0.0094032143258532,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,51667.0,Married,Nova,4892.63,Standard,2012,5,,,3
100644,29,1.2083333333333333,1.6145847942957392,6,45939,1914.125,45939.0,1914.125,2277,94.875,3,-0.0343478260869565,0.0495657284660092,Canada,Alberta,Peace River,T9O 2W2,Female,Master,94440.0,Divorced,Star,4458.11,Standard,2015,7,,,3
100646,30,1.25,1.5948285992135849,6,41715,1738.125,41715.0,1738.125,559,23.291666666666668,3,0.0434782608695652,0.0134004554716528,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,101933.0,Married,Star,2471.53,Standard,2015,10,,,3
100727,48,2.0,1.7937088125857623,6,75593,3149.708333333333,75593.0,3149.708333333333,1570,65.41666666666667,2,0.0182608695652173,0.0207691188337544,Canada,Quebec,Tremblant,H5Y 2S9,Male,Master,128118.0,Married,Nova,3873.65,Standard,2014,3,,,3
100737,47,1.9583333333333333,1.756458063130524,5,66830,2784.583333333333,66830.0,2784.583333333333,2357,98.20833333333331,5,0.0813043478260869,0.0352685919497231,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Single,Star,12786.67,Standard,2017,4,,,1
100753,51,2.125,1.918162617216527,6,64171,2673.7916666666665,64171.0,2673.7916666666665,750,31.25,3,-0.1300000000000001,0.0116875224010846,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,47717.0,Divorced,Star,2534.31,Standard,2015,10,,,3
100816,31,1.2916666666666667,1.3014763077790332,4,47653,1985.5416666666667,47653.0,1985.5416666666667,0,0.0,5,0.0247826086956521,0.0,Canada,Ontario,Ottawa,K1F 2R2,Female,Master,97497.0,Divorced,Aurora,6273.91,Standard,2013,3,,,4
100853,39,1.625,1.883855897747559,6,47403,1975.125,47403.0,1975.125,579,24.125,4,0.0082608695652173,0.0122144168090627,Canada,Ontario,Trenton,K8V 4B2,Male,College,,Married,Star,10153.89,Standard,2016,1,,,1
100883,34,1.4166666666666667,1.8395809226599664,6,53659,2235.7916666666665,53659.0,2235.7916666666665,0,0.0,3,0.0730434782608695,0.0,Canada,Manitoba,Winnipeg,R3R 3T4,Female,College,,Single,Star,3561.04,Standard,2013,6,,,4
100890,27,1.125,1.2958965337120694,4,39394,1641.4166666666667,39394.0,1641.4166666666667,1612,67.16666666666667,3,0.0352173913043478,0.0409199370462507,Canada,Ontario,Toronto,P1W 1K4,Female,College,,Divorced,Nova,8007.4,Standard,2014,8,,,1
101018,41,1.7083333333333333,1.5736738147920994,5,71919,2996.625,71919.0,2996.625,1186,49.41666666666666,2,0.0030434782608695,0.0164907743433585,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,56523.0,Married,Nova,4392.98,Standard,2014,4,,,3
101148,30,1.25,1.5948285992135849,5,47570,1982.0833333333333,47570.0,1982.0833333333333,714,29.75,3,-0.068695652173913,0.0150094597435358,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,High School or Below,45229.0,Single,Nova,4770.55,Standard,2012,11,,,3
101356,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,50688.0,Married,Nova,7482.64,Standard,2012,11,,,0
101363,31,1.2916666666666667,1.6805580508625224,5,50697,2112.375,50697.0,2112.375,1760,73.33333333333333,5,0.0404347826086956,0.0347160581493974,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,59310.0,Married,Star,12898.59,Standard,2016,4,,,1
101487,56,2.333333333333333,1.6594044679962137,6,72589,3024.5416666666665,72589.0,3024.5416666666665,2912,121.33333333333331,1,0.0060869565217391,0.0401162710603534,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,91817.0,Married,Aurora,14024.36,Standard,2012,12,,,1
101515,29,1.2083333333333333,1.4738050920238273,5,50433,2101.375,50433.0,2101.375,2043,85.125,3,-0.018695652173913,0.0405091904110403,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,68711.0,Married,Nova,7737.27,Standard,2014,1,,,1
101540,30,1.25,1.7003835884370582,6,49094,2045.5833333333333,49094.0,2045.5833333333333,931,38.79166666666666,5,0.0660869565217391,0.0189636208090601,Canada,Ontario,London,M5B 3E4,Female,Bachelor,69020.0,Single,Star,2688.88,Standard,2017,5,,,3
101544,40,1.6666666666666667,1.659404467996214,6,61432,2559.6666666666665,61432.0,2559.6666666666665,1722,71.75,3,0.0304347826086956,0.0280309936189608,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,56531.0,Married,Nova,24249.34,Standard,2014,4,,,1
101547,17,0.7083333333333334,1.4288690166235207,6,32918,1371.5833333333333,32918.0,1371.5833333333333,576,24.0,12,0.0839130434782609,0.0174980253964396,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Married,Star,5619.69,Standard,2017,10,,,3
101581,36,1.5,1.7693034738587656,6,49542,2064.25,49542.0,2064.25,1104,46.0,2,0.0208695652173912,0.022284122562674,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,87781.0,Married,Star,4595.46,Standard,2012,10,,,3
101594,43,1.7916666666666667,1.587427962533067,5,58229,2426.208333333333,58229.0,2426.208333333333,1319,54.958333333333336,3,0.0769565217391304,0.0226519431898195,Canada,Ontario,Toronto,P2T 6G3,Male,Doctor,239867.0,Divorced,Star,5205.75,Standard,2015,8,,,3
101644,2,0.0833333333333333,0.408248290463863,2,2974,123.91666666666669,2974.0,123.91666666666669,0,0.0,23,0.02,0.0,Canada,Ontario,Toronto,P1L 8X8,Female,Master,101038.0,Married,Star,8382.63,Standard,2018,11,,,0
101663,41,1.7083333333333333,1.7315277663950708,5,60109,2504.5416666666665,60109.0,2504.5416666666665,961,40.04166666666666,3,0.0308695652173913,0.0159876224858174,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,94946.0,Married,Aurora,5129.74,Standard,2016,9,,,3
101664,29,1.2083333333333333,1.5030162910010298,5,40987,1707.7916666666667,40987.0,1707.7916666666667,0,0.0,4,0.0299999999999999,0.0,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,87654.0,Married,Aurora,9002.41,Standard,2013,7,,,4
101709,38,1.5833333333333333,1.4719601443879746,5,59596,2483.1666666666665,59596.0,2483.1666666666665,456,19.0,4,-0.0895652173913043,0.0076515202362574,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,66733.0,Single,Aurora,8396.61,Standard,2015,9,2018.0,8.0,1
101768,1,0.0416666666666666,0.2041241452319315,1,1733,72.20833333333333,1733.0,72.20833333333333,0,0.0,23,0.01,0.0,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,70267.0,Single,Nova,13916.93,Standard,2018,9,,,0
101876,12,0.5,1.2158375177486576,5,18264,761.0,18264.0,761.0,1187,49.458333333333336,10,0.0234782608695652,0.0649912395970214,Canada,Quebec,Quebec City,G1B 3L5,Male,College,,Single,Aurora,4949.53,Standard,2017,10,2018.0,6.0,3
101895,27,1.125,1.596531566702726,6,47305,1971.0416666666667,47305.0,1971.0416666666667,0,0.0,6,-0.0560869565217391,0.0,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,81883.0,Single,Nova,24543.2,Standard,2013,2,,,4
101902,77,3.208333333333333,2.587245751703952,9,131909,5496.208333333333,131909.0,5496.208333333333,1302,54.25,3,0.1369565217391304,0.0098704409858311,Canada,Ontario,London,M5B 3E4,Female,College,,Married,Aurora,6265.34,Standard,2017,1,,,1
101945,39,1.625,1.5828565262236167,5,63004,2625.1666666666665,63004.0,2625.1666666666665,1219,50.79166666666666,1,0.0195652173913043,0.0193479779061646,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,86098.0,Married,Star,4202.66,Standard,2013,11,,,3
102168,25,1.0416666666666667,1.8528278426483,6,40495,1687.2916666666667,40495.0,1687.2916666666667,0,0.0,14,0.1534782608695652,0.0,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,75265.0,Divorced,Nova,7166.34,Standard,2018,1,,,4
102184,45,1.875,1.962972457668527,7,69058,2877.4166666666665,69058.0,2877.4166666666665,0,0.0,2,0.027391304347826,0.0,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,76887.0,Married,Star,4923.18,Standard,2016,4,,,4
102207,25,1.0416666666666667,1.6010639578422372,5,37889,1578.7083333333333,37889.0,1578.7083333333333,0,0.0,3,-0.0291304347826087,0.0,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,86413.0,Divorced,Nova,6960.92,Standard,2012,5,,,4
102299,48,2.0,2.085144140570748,6,59570,2482.083333333333,59570.0,2482.083333333333,0,0.0,3,0.0139130434782608,0.0,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,College,,Single,Star,2089.34,Standard,2015,7,,,4
