Loyalty Number,max_inactive_streak,Cancellation Year,churn,cluster
100018,2,,0,1
100102,3,,0,3
100140,1,,0,3
100214,6,,1,3
100272,3,,0,3
100301,4,,0,1
100364,5,,0,3
100380,2,,0,3
100428,2,,0,3
100504,10,2018.0,1,4
100550,2,,0,1
100585,2,,0,1
100590,16,,1,1
100642,2,,0,3
100644,3,,0,3
100646,3,,0,3
100727,2,,0,3
100737,5,,0,1
100753,3,,0,3
100816,5,,0,4
100853,4,,0,1
100883,3,,0,4
100890,3,,0,1
101018,2,,0,3
101148,3,,0,3
101356,24,,1,0
101363,5,,0,1
101487,1,,0,1
101515,3,,0,1
101540,5,,0,3
101544,3,,0,1
101547,12,,1,3
101581,2,,0,3
101594,3,,0,3
101644,23,,1,0
101663,3,,0,3
101664,4,,0,4
101709,4,2018.0,1,1
101768,23,,1,0
101876,10,2018.0,1,3
101895,6,,1,4
101902,3,,0,1
101945,1,,0,3
102168,14,,1,4
102184,2,,0,4
102207,3,,0,4
102299,3,,0,4
102308,24,,1,0
102311,2,,0,1
102376,16,,1,2
102464,5,,0,3
102615,21,,1,0
102726,11,,1,1
102730,14,,1,4
102740,21,,1,4
102788,14,,1,2
102851,2,,0,1
102877,3,,0,3
102982,7,,1,4
103043,4,,0,3
103151,4,,0,1
103217,3,,0,4
103304,1,,0,3
103340,3,,0,4
103352,24,2015.0,1,0
103359,3,,0,3
103362,22,,1,0
103383,24,2016.0,1,0
103436,2,,0,3
103490,2,,0,4
103502,6,,1,3
103536,3,,0,1
103699,13,,1,4
103731,4,,0,3
103758,18,,1,4
103823,2,,0,3
103860,2,,0,3
103862,3,,0,3
103916,4,,0,3
103969,3,,0,1
103970,4,,0,4
103975,20,,1,3
103985,20,,1,0
104103,4,,0,1
104267,15,,1,2
104353,3,,0,1
104431,4,,0,3
104541,4,,0,1
104586,3,,0,1
104673,2,,0,1
104732,3,,0,1
104739,24,2014.0,1,0
104849,1,,0,3
104960,6,,1,3
105063,15,,1,4
105073,15,,1,2
105074,3,,0,3
105145,24,,1,0
105193,21,,1,0
105214,3,,0,3
105251,18,2017.0,1,4
105335,5,,0,1
105352,24,2014.0,1,0
105552,4,,0,1
105688,1,,0,3
105700,24,2015.0,1,0
105712,4,,0,1
105789,5,,0,3
105835,16,,1,2
105841,13,,1,2
105921,5,,0,3
105932,2,,0,3
105992,4,,0,3
106001,1,,0,3
106037,4,,0,4
106038,2,,0,1
106046,15,,1,2
106048,23,,1,0
106218,3,,0,1
106397,4,,0,1
106444,14,,1,3
106477,5,,0,4
106509,19,2018.0,1,4
106589,24,2013.0,1,0
106592,3,,0,1
106616,19,,1,4
106623,22,,1,0
106637,4,,0,1
106689,6,,1,3
106754,6,,1,1
106757,3,,0,4
106776,2,,0,1
106838,3,,0,4
106839,2,,0,1
106936,2,,0,1
106946,2,,0,1
106964,21,,1,3
106978,3,,0,3
106979,2,,0,1
107037,5,,0,1
107067,2,,0,3
107119,2,,0,1
107141,3,,0,1
107203,2,,0,3
107212,3,,0,3
107296,8,,1,1
107385,11,,1,3
107420,11,2018.0,1,1
107461,5,,0,3
107466,3,,0,3
107487,4,,0,1
107519,14,2018.0,1,2
107571,7,,1,1
107649,3,,0,3
107719,2,,0,3
107730,11,,1,1
107835,22,,1,3
107902,5,,0,3
107993,2,,0,4
108264,1,,0,3
108346,12,2018.0,1,4
108367,11,2018.0,1,4
108381,2,,0,3
108430,1,,0,1
108440,2,,0,1
108462,3,,0,1
108481,24,,1,0
108528,3,,0,1
108625,2,,0,1
108666,6,,1,1
108857,10,2018.0,1,3
108896,12,2018.0,1,4
108907,3,,0,3
109022,4,,0,3
109023,4,,0,3
