feature,importance
emb_30,0.2977239
emb_18,0.17126796
Enrollment Type,0.12161169
emb_9,0.10938494
Cluster,0.08169756
emb_3,0.06682541
emb_22,0.026159126
emb_25,0.022658816
emb_23,0.014670957
emb_5,0.007245676
emb_1,0.006910733
emb_2,0.006564938
emb_12,0.0051243873
emb_19,0.0029168725
emb_27,0.0028667434
emb_31,0.0028020917
Salary,0.002787813
CLV,0.0027214577
emb_26,0.0026075998
emb_8,0.0026002764
emb_17,0.0025841892
emb_13,0.0025810597
emb_28,0.002536229
emb_21,0.0025090456
emb_24,0.0024768033
Loyalty Card,0.002379925
emb_20,0.0023647104
emb_11,0.0023625281
emb_16,0.0023351456
emb_15,0.0023333626
emb_14,0.0023167497
Education,0.0022815152
emb_7,0.002168912
Gender,0.0021387823
Marital Status,0.002125533
emb_6,0.0020560566
emb_4,0.0018713835
emb_0,0.001841257
emb_10,0.0015878521
emb_29,0.0
