feature,importance
emb_22,0.31509525
emb_18,0.20723905
emb_17,0.11633393
emb_23,0.08872935
emb_5,0.07612398
Enrollment Type,0.043272387
emb_29,0.03512136
Cluster,0.021612523
emb_2,0.0102322
emb_19,0.0099635
emb_24,0.008064238
emb_11,0.0051340787
emb_7,0.005098749
emb_14,0.0031511663
emb_6,0.002968724
emb_26,0.0028848369
emb_28,0.00279341
emb_31,0.0027082895
emb_4,0.002701411
emb_21,0.002594066
emb_10,0.0024260764
emb_27,0.0023686017
emb_30,0.002338055
emb_8,0.0023325142
emb_1,0.0022618063
emb_20,0.0021951736
emb_16,0.0021504862
emb_13,0.002127051
emb_25,0.0019709233
emb_15,0.0018880055
emb_12,0.0018435307
Salary,0.0018175117
CLV,0.001806658
emb_9,0.0018018692
Education,0.001629935
Marital Status,0.0016022434
Loyalty Card,0.0015163497
emb_3,0.0014448717
Gender,0.0013506522
emb_0,0.0013052275
